id,name
1,?
2,Cambodia
3,Canada
4,China
5,Columbia
6,Cuba
7,Dominican-Republic
8,Ecuador
9,El-Salvador
10,England
11,France
12,Germany
13,Greece
14,Guatemala
15,Haiti
16,Holand-Netherlands
17,Honduras
18,Hong
19,Hungary
20,India
21,Iran
22,Ireland
23,Italy
24,Jamaica
25,Japan
26,Laos
27,Mexico
28,Nicaragua
29,Outlying-US(Guam-USVI-etc)
30,Peru
31,Philippines
32,Poland
33,Portugal
34,Puerto-Rico
35,Scotland
36,South
37,Taiwan
38,Thailand
39,Trinadad&Tobago
40,United-States
41,Vietnam
42,Yugoslavia
